case,number,f_73,f_59,f_25,f_120,f_55,f_178,f_179,f_81,f_17,f_47
Case001-2,132,0.901690661907196,0.9090418815612792,0.8532741069793701,0.9147915244102478,0.8993057012557983,0.8964075446128845,0.9321610927581788,0.8920702934265137,0.912214457988739,0.8948436975479126
Case001-2,160,0.8731172680854797,0.8857694268226624,0.8169468641281128,0.9052073955535888,0.893929123878479,0.9001673460006714,0.8975756764411926,0.8663190603256226,0.9250617027282716,0.85916668176651
Case001-2,186,0.8663505911827087,0.8652257323265076,0.7852193713188171,0.8662605285644531,0.8477957248687744,0.8523997068405151,0.8886376023292542,0.8231684565544128,0.9006198048591614,0.8848181366920471
Case001-2,215,0.8368977308273315,0.7715319395065308,0.7215116024017334,0.8479484915733337,0.8456098437309265,0.7783288359642029,0.8836104273796082,0.8475773930549622,0.825525164604187,0.8174354434013367
Case001-2,289,0.9273191690444946,0.9179956912994384,0.8567935824394226,0.931820511817932,0.9053515195846558,0.9013880491256714,0.9399071335792542,0.9287513494491576,0.933410942554474,0.9151708483695984
Case001-2,428,0.8935309052467346,0.8978618383407593,0.8171340823173523,0.9028802514076232,0.8678735494613647,0.8901464939117432,0.9359548091888428,0.9061343669891356,0.9362228512763976,0.884841799736023
Case001-2,521,0.9057080149650574,0.9119070768356324,0.8582447171211243,0.9234349727630616,0.916567325592041,0.8922293782234192,0.9515159130096436,0.9327250123023988,0.9158727526664734,0.8878902792930603
Case001-2,640,0.897248387336731,0.8823989629745483,0.8614426851272583,0.9207281470298768,0.9010964035987854,0.8687275648117065,0.914145529270172,0.8944792151451111,0.8986601233482361,0.8924074769020081
Case001-2,932,0.840485155582428,0.8052996397018433,0.7682980298995972,0.8623973727226257,0.8434074521064758,0.7977343797683716,0.8900165557861328,0.8509707450866699,0.8323846459388733,0.8373488187789917
Case001-2,1204,0.841704785823822,0.8169570565223694,0.7539998292922974,0.8556810617446899,0.8198847770690918,0.8190183043479919,0.8688026070594788,0.8115314841270447,0.8600585460662842,0.8435705304145813
Case001-2,1250,0.7898275852203369,0.7145013213157654,0.708554208278656,0.8008241653442383,0.8029882907867432,0.7462172508239746,0.8360769748687744,0.7663276195526123,0.7709407210350037,0.8069249391555786
Case001-2,1301,0.8958218097686768,0.8864660263061523,0.8543577790260315,0.9088912010192872,0.9239938855171204,0.8424614071846008,0.9339579343795776,0.9163394570350648,0.8926219344139099,0.8632497191429138
Case001-2,1313,0.8579810261726379,0.8819556832313538,0.778599202632904,0.8603058457374573,0.8790807723999023,0.7684550285339355,0.8634267449378967,0.8427950739860535,0.859026312828064,0.7926243543624878
Case001-2,1340,0.8362715244293213,0.8637925386428833,0.7841220498085022,0.8585668206214905,0.858902096748352,0.8005688190460205,0.8519972562789917,0.8576014637947083,0.7725510597229004,0.7986487746238708
Case001-2,1413,0.891514241695404,0.8538383841514587,0.7931755185127258,0.8830632567405701,0.8444802761077881,0.8214517831802368,0.8410384654998779,0.8111913800239563,0.8231799006462097,0.8600611090660095
Case001-2,1565,0.8873820900917053,0.881106436252594,0.8638057708740234,0.8810341358184814,0.8874176144599915,0.86419677734375,0.8743399977684021,0.9088519811630248,0.8806177973747253,0.866443395614624
Case001-2,1660,0.9004026055335999,0.894533097743988,0.8449159860610962,0.9030663967132568,0.9176545739173888,0.8829221725463867,0.88114994764328,0.8925028443336487,0.8950350880622864,0.8988467454910278
Case001-2,1717,0.8545401096343994,0.8032470345497131,0.7794896364212036,0.8354406952857971,0.8461278080940247,0.8189810514450073,0.8798587918281555,0.8671925067901611,0.8355948328971863,0.8510175347328186
Case001-2,1954,0.8459374308586121,0.8509296774864197,0.8126279711723328,0.8629371523857117,0.8829461932182312,0.8386496305465698,0.8788625001907349,0.8376203775405884,0.8812965154647827,0.8739318251609802
Case001-2,2116,0.8222095966339111,0.8158214092254639,0.7511793971061707,0.8249284029006958,0.8455797433853149,0.8078763484954834,0.8578343987464905,0.8706300258636475,0.8213291168212891,0.8115322589874268
Case001-2,2272,0.8326238393783569,0.8528175354003906,0.7733557224273682,0.8437002301216125,0.8585628271102905,0.7816371321678162,0.8383522033691406,0.7924082279205322,0.7861786484718323,0.827940821647644
Case001-2,2344,0.8610402345657349,0.8470213413238525,0.7814474701881409,0.8797383904457092,0.8982736468315125,0.8437151908874512,0.8429436087608337,0.8386232256889343,0.8495667576789856,0.8753559589385986
